Gender,Marital Status,State or Province,Product Category
F,M,WA,Pure Juice Beverages
F,M,WA,Hot Beverages
F,M,OR,Kitchen Products
M,M,WA,Pure Juice Beverages
M,M,OR,Hardware
F,S,WA,Jams and Jellies
M,M,CA,Meat
M,S,WA,Canned Soup
F,M,WA,Meat
F,M,WA,Bread
M,S,WA,Starchy Foods
F,M,WA,Electrical
M,M,WA,Electrical
F,S,WA,Bathroom Products
M,S,WA,Vegetables
M,M,CA,Fruit
M,M,CA,Kitchen Products
F,S,OR,Decongestants
F,M,OR,Vegetables
F,S,WA,Vegetables
M,S,CA,Frozen Desserts
M,M,OR,Breakfast Foods
F,M,CA,Bread
M,M,CA,Vegetables
M,S,WA,Vegetables
F,S,WA,Starchy Foods
F,M,CA,Dairy
M,S,WA,Snack Foods
F,M,WA,Dairy
F,M,WA,Vegetables
M,S,CA,Canned Soup
F,S,WA,Vegetables
M,S,CA,Fruit
F,S,CA,Candy
F,M,OR,Pure Juice Beverages
M,S,WA,Breakfast Foods
M,S,WA,Vegetables
M,M,OR,Meat
F,S,OR,Snack Foods
M,S,CA,Carbonated Beverages
M,M,CA,Meat
F,S,CA,Breakfast Foods
M,M,WA,Meat
F,S,WA,Meat
F,S,OR,Vegetables
F,M,WA,Bathroom Products
F,M,WA,Vegetables
F,S,WA,Side Dishes
M,M,WA,Hygiene
M,M,CA,Bread
M,M,OR,Electrical
F,S,WA,Vegetables
F,M,OR,Dairy
M,M,WA,Bread
M,M,WA,Vegetables
F,S,WA,Snack Foods
F,S,OR,Frozen Desserts
M,M,CA,Vegetables
F,M,CA,Jams and Jellies
M,S,OR,Canned Soup
M,S,OR,Baking Goods
F,S,CA,Canned Tuna
M,S,WA,Vegetables
M,M,CA,Meat
M,S,WA,Vegetables
F,M,OR,Canned Soup
F,S,WA,Vegetables
F,M,CA,Specialty
M,S,WA,Breakfast Foods
F,S,CA,Pain Relievers
F,S,WA,Eggs
M,S,OR,Pizza
F,M,CA,Vegetables
M,S,CA,Jams and Jellies
F,M,WA,Breakfast Foods
M,S,CA,Eggs
M,S,WA,Snack Foods
F,M,CA,Electrical
F,S,CA,Breakfast Foods
M,M,OR,Starchy Foods
M,S,CA,Vegetables
M,M,CA,Electrical
F,M,WA,Paper Products
M,M,WA,Dairy
M,M,WA,Canned Soup
M,S,OR,Vegetables
M,S,CA,Hardware
M,S,WA,Beer and Wine
F,M,WA,Magazines
M,S,WA,Vegetables
M,S,CA,Beer and Wine
F,M,CA,Frozen Desserts
F,M,WA,Dairy
F,S,CA,Drinks
F,S,OR,Paper Products
M,M,WA,Dairy
F,S,WA,Snack Foods
F,S,WA,Fruit
M,M,WA,Electrical
F,S,WA,Vegetables
M,M,WA,Decongestants
M,S,CA,Hot Beverages
M,M,WA,Drinks
M,M,CA,Meat
M,S,OR,Vegetables
F,M,WA,Frozen Desserts
M,M,WA,Frozen Desserts
M,M,WA,Vegetables
M,M,WA,Breakfast Foods
F,M,WA,Baking Goods
F,M,OR,Snack Foods
M,S,CA,Canned Soup
M,M,WA,Dairy
F,M,WA,Specialty
F,M,OR,Breakfast Foods
F,S,OR,Meat
F,M,CA,Electrical
M,S,CA,Dairy
M,M,WA,Starchy Foods
M,M,WA,Kitchen Products
F,M,CA,Beer and Wine
F,M,CA,Hot Beverages
F,M,WA,Snack Foods
M,M,WA,Eggs
M,M,OR,Dairy
M,M,CA,Drinks
F,S,WA,Snack Foods
M,S,WA,Vegetables
F,S,WA,Fruit
M,S,WA,Fruit
M,S,CA,Paper Products
F,S,WA,Electrical
M,S,WA,Dairy
F,S,WA,Hygiene
F,M,WA,Baking Goods
M,M,WA,Frozen Desserts
M,S,WA,Vegetables
F,S,WA,Vegetables
F,M,CA,Canned Oysters
F,M,WA,Vegetables
M,M,WA,Dairy
F,S,CA,Plastic Products
F,M,OR,Miscellaneous
F,M,OR,Hygiene
F,M,OR,Snack Foods
M,M,WA,Candy
M,S,CA,Vegetables
F,M,CA,Canned Tuna
F,S,OR,Snack Foods
F,M,CA,Breakfast Foods
F,M,WA,Jams and Jellies
F,M,CA,Frozen Entrees
F,S,OR,Vegetables
M,M,CA,Cleaning Supplies
F,S,CA,Candy
F,S,OR,Baking Goods
M,M,WA,Drinks
F,M,WA,Vegetables
M,M,WA,Specialty
F,S,WA,Canned Soup
M,S,WA,Candy
M,M,WA,Baking Goods
M,S,WA,Frozen Desserts
F,S,OR,Meat
M,S,WA,Dairy
M,S,CA,Specialty
M,M,CA,Pure Juice Beverages
F,M,WA,Hot Beverages
F,M,WA,Pure Juice Beverages
F,M,OR,Vegetables
M,M,OR,Bread
M,S,WA,Candy
F,M,WA,Meat
M,M,CA,Frozen Desserts
F,S,OR,Fruit
M,S,CA,Fruit
M,M,WA,Beer and Wine
F,S,CA,Baking Goods
M,S,WA,Magazines
F,M,OR,Dairy
M,S,WA,Magazines
F,M,WA,Cleaning Supplies
M,M,WA,Fruit
F,M,WA,Candy
M,M,CA,Kitchen Products
F,S,OR,Fruit
F,S,WA,Canned Soup
M,S,WA,Snack Foods
M,M,WA,Cleaning Supplies
M,S,OR,Hot Beverages
F,M,WA,Snack Foods
F,M,WA,Meat
M,S,OR,Specialty
M,S,WA,Canned Soup
M,S,CA,Pain Relievers
F,M,OR,Beer and Wine
F,M,WA,Cleaning Supplies
F,S,WA,Dairy
F,M,CA,Canned Soup
F,S,WA,Specialty
F,M,WA,Baking Goods
M,S,CA,Cleaning Supplies
F,S,OR,Dairy
F,S,WA,Pain Relievers
M,M,CA,Fruit
M,M,WA,Electrical
M,S,WA,Meat
M,M,WA,Bread
M,S,CA,Hot Beverages
M,S,CA,Jams and Jellies
M,S,CA,Vegetables
M,S,CA,Snack Foods
M,M,CA,Electrical
F,M,WA,Jams and Jellies
M,M,WA,Snack Foods
F,S,WA,Dairy
M,S,OR,Breakfast Foods
M,M,OR,Seafood
M,S,OR,Snack Foods
F,M,WA,Breakfast Foods
M,S,WA,Plastic Products
M,M,OR,Vegetables
F,S,WA,Meat
M,S,WA,Snack Foods
F,S,CA,Candy
M,S,OR,Dairy
M,S,WA,Hygiene
F,S,CA,Dairy
M,S,WA,Snack Foods
F,M,WA,Vegetables
M,M,CA,Meat
M,S,CA,Snack Foods
M,M,WA,Vegetables
M,S,WA,Meat
M,M,WA,Paper Products
F,S,CA,Carbonated Beverages
M,S,OR,Starchy Foods
F,S,WA,Jams and Jellies
F,S,WA,Snack Foods
M,M,CA,Pure Juice Beverages
M,S,CA,Drinks
F,S,CA,Snack Foods
F,M,WA,Snack Foods
F,M,CA,Fruit
M,S,OR,Specialty
F,M,CA,Dairy
F,S,CA,Frozen Entrees
F,S,WA,Candy
F,S,CA,Fruit
F,S,OR,Canned Soup
M,S,OR,Frozen Desserts
F,M,CA,Vegetables
F,S,CA,Hygiene
M,M,OR,Frozen Desserts
F,M,WA,Kitchen Products
M,M,OR,Frozen Entrees
M,M,WA,Eggs
M,S,WA,Cleaning Supplies
M,M,OR,Specialty
F,S,WA,Canned Soup
M,S,WA,Seafood
M,M,WA,Kitchen Products
F,M,OR,Candy
M,S,OR,Snack Foods
M,S,CA,Packaged Vegetables
M,S,CA,Fruit
F,M,CA,Beer and Wine
F,M,WA,Vegetables
F,S,WA,Snack Foods
M,M,WA,Magazines
F,M,WA,Specialty
F,S,OR,Beer and Wine
F,M,WA,Candy
F,S,CA,Snack Foods
F,S,WA,Candles
F,S,CA,Vegetables
M,S,WA,Cleaning Supplies
F,M,WA,Dairy
F,S,WA,Fruit
M,S,CA,Dairy
M,M,CA,Hot Beverages
M,M,WA,Pure Juice Beverages
M,M,WA,Candy
M,S,WA,Snack Foods
F,M,CA,Fruit
M,S,CA,Canned Tuna
M,M,OR,Beer and Wine
F,M,WA,Meat
F,S,WA,Vegetables
F,S,OR,Snack Foods
F,M,CA,Vegetables
M,M,OR,Snack Foods
M,M,CA,Vegetables
F,S,CA,Cleaning Supplies
F,M,WA,Kitchen Products
F,S,CA,Eggs
M,S,CA,Fruit
M,M,OR,Vegetables
M,M,OR,Fruit
M,M,CA,Magazines
M,M,CA,Snack Foods
M,S,WA,Dairy
M,M,WA,Candy
F,M,CA,Jams and Jellies
M,S,CA,Snack Foods
M,M,CA,Vegetables
M,M,WA,Canned Soup
F,S,WA,Kitchen Products
F,S,WA,Hygiene
M,M,OR,Bathroom Products
F,S,WA,Jams and Jellies
M,M,OR,Magazines
F,M,WA,Fruit
F,M,CA,Vegetables
M,S,CA,Paper Products
F,M,WA,Snack Foods
F,M,WA,Candy
M,S,WA,Starchy Foods
M,S,OR,Jams and Jellies
F,S,WA,Dairy
M,S,WA,Kitchen Products
M,S,WA,Vegetables
F,M,WA,Vegetables
F,M,OR,Snack Foods
M,M,CA,Snack Foods
M,M,CA,Candy
M,S,WA,Candy
M,M,WA,Snack Foods
M,S,WA,Fruit
M,S,WA,Vegetables
F,S,WA,Dairy
M,S,WA,Canned Soup
F,M,CA,Frozen Desserts
F,S,CA,Fruit
F,M,CA,Fruit
M,S,WA,Dairy
F,S,WA,Starchy Foods
F,S,WA,Starchy Foods
F,S,CA,Bathroom Products
F,M,CA,Drinks
F,M,CA,Fruit
F,M,OR,Beer and Wine
M,S,OR,Vegetables
M,M,WA,Carbonated Beverages
M,S,OR,Vegetables
M,M,WA,Fruit
M,S,OR,Snack Foods
F,M,CA,Candy
M,M,WA,Jams and Jellies
M,S,WA,Snack Foods
F,M,CA,Baking Goods
M,S,CA,Vegetables
F,S,CA,Pure Juice Beverages
F,S,WA,Fruit
M,M,OR,Dairy
F,M,CA,Bathroom Products
M,S,CA,Pain Relievers
M,S,CA,Fruit
M,S,CA,Hot Beverages
M,M,CA,Vegetables
M,S,WA,Vegetables
M,S,WA,Fruit
F,S,WA,Snack Foods
M,S,CA,Baking Goods
F,M,WA,Pizza
M,M,WA,Jams and Jellies
F,S,OR,Baking Goods
M,M,CA,Dairy
M,M,CA,Canned Sardines
M,S,CA,Pure Juice Beverages
F,S,CA,Vegetables
F,S,CA,Meat
M,S,CA,Jams and Jellies
M,S,OR,Pizza
M,S,CA,Meat
F,M,CA,Baking Goods
F,M,CA,Starchy Foods
M,S,OR,Fruit
F,S,OR,Dairy
M,M,WA,Hygiene
M,S,WA,Seafood
M,M,CA,Meat
M,S,WA,Baking Goods
M,S,CA,Dairy
F,S,CA,Baking Goods
F,S,CA,Vegetables
F,S,OR,Hygiene
M,M,OR,Snack Foods
F,S,WA,Vegetables
M,S,CA,Bathroom Products
M,S,WA,Beer and Wine
F,M,WA,Dairy
M,M,CA,Jams and Jellies
M,S,CA,Canned Sardines
F,M,WA,Carbonated Beverages
F,S,WA,Magazines
M,M,CA,Baking Goods
M,M,WA,Hardware
F,S,CA,Bathroom Products
F,S,CA,Vegetables
M,S,CA,Paper Products
F,M,WA,Canned Soup
M,M,WA,Starchy Foods
M,M,WA,Canned Soup
F,S,CA,Magazines
F,M,WA,Snack Foods
F,S,WA,Pizza
M,S,OR,Vegetables
M,S,WA,Jams and Jellies
F,M,WA,Bread
M,M,CA,Dairy
M,M,CA,Meat
M,S,CA,Vegetables
F,M,CA,Snack Foods
F,M,WA,Vegetables
F,M,WA,Starchy Foods
F,M,WA,Snack Foods
F,M,WA,Meat
M,S,OR,Jams and Jellies
F,S,OR,Hygiene
M,M,WA,Bread
F,M,WA,Starchy Foods
M,S,OR,Dairy
M,M,WA,Candy
F,S,WA,Vegetables
F,M,WA,Snack Foods
F,S,OR,Baking Goods
M,M,WA,Specialty
M,S,CA,Fruit
F,S,WA,Baking Goods
M,M,WA,Canned Soup
F,S,WA,Beer and Wine
M,M,OR,Baking Goods
M,S,CA,Vegetables
F,S,WA,Fruit
M,S,CA,Vegetables
M,M,WA,Baking Goods
F,S,CA,Paper Products
F,M,WA,Starchy Foods
F,M,WA,Vegetables
F,S,WA,Cleaning Supplies
F,M,WA,Canned Soup
F,M,CA,Beer and Wine
M,S,WA,Dairy
M,M,WA,Canned Shrimp
F,M,WA,Snack Foods
F,M,CA,Hygiene
F,S,WA,Fruit
M,M,WA,Meat
F,S,WA,Electrical
M,S,WA,Electrical
M,S,CA,Baking Goods
F,S,WA,Vegetables
F,M,OR,Magazines
M,M,OR,Snack Foods
M,S,CA,Frozen Desserts
M,S,CA,Vegetables
F,S,WA,Hygiene
M,S,CA,Vegetables
F,S,CA,Snack Foods
M,S,CA,Bathroom Products
M,S,CA,Fruit
M,S,CA,Vegetables
F,M,WA,Vegetables
F,S,CA,Vegetables
M,S,WA,Carbonated Beverages
F,M,CA,Magazines
M,M,CA,Dairy
M,M,WA,Starchy Foods
F,M,OR,Snack Foods
M,S,OR,Fruit
F,S,WA,Cold Remedies
M,S,WA,Bread
F,S,CA,Starchy Foods
M,M,CA,Cleaning Supplies
F,S,CA,Frozen Desserts
F,M,WA,Meat
F,S,CA,Frozen Desserts
M,M,WA,Fruit
M,M,CA,Specialty
F,M,WA,Canned Soup
M,S,CA,Decongestants
F,M,WA,Snack Foods
F,M,CA,Specialty
F,M,WA,Vegetables
M,S,WA,Canned Tuna
M,S,WA,Baking Goods
M,M,OR,Dairy
F,M,CA,Snack Foods
M,M,CA,Meat
M,M,CA,Fruit
M,S,WA,Snack Foods
M,M,WA,Bread
F,S,WA,Meat
M,S,WA,Canned Soup
F,M,OR,Baking Goods
M,S,OR,Dairy
F,S,CA,Bathroom Products
M,S,WA,Side Dishes
M,S,WA,Vegetables
M,S,CA,Jams and Jellies
F,S,CA,Snack Foods
M,S,CA,Specialty
M,S,WA,Meat
F,S,WA,Bread
M,S,CA,Dairy
F,M,OR,Seafood
F,S,CA,Seafood
F,M,CA,Snack Foods
M,S,WA,Fruit
F,M,WA,Paper Products
F,S,CA,Fruit
M,M,CA,Electrical
M,M,WA,Electrical
F,M,CA,Fruit
F,M,WA,Hot Beverages
M,M,CA,Vegetables
F,M,CA,Vegetables
M,S,WA,Fruit
F,M,OR,Baking Goods
M,M,CA,Jams and Jellies
F,S,WA,Fruit
M,M,WA,Dairy
M,M,OR,Bread
F,M,WA,Carbonated Beverages
F,S,WA,Canned Soup
M,M,WA,Frozen Desserts
F,M,OR,Jams and Jellies
M,S,WA,Vegetables
F,M,WA,Snack Foods
M,S,WA,Hygiene
F,M,OR,Meat
F,M,WA,Snack Foods
M,S,CA,Canned Soup
F,M,WA,Meat
M,S,CA,Snack Foods
F,S,WA,Canned Soup
F,S,WA,Vegetables
M,S,WA,Canned Anchovies
F,M,CA,Frozen Desserts
F,M,CA,Meat
M,M,WA,Canned Clams
M,S,CA,Vegetables
F,M,OR,Vegetables
F,M,OR,Candy
F,M,OR,Packaged Vegetables
M,M,OR,Hardware
F,S,WA,Snack Foods
F,S,OR,Vegetables
M,M,WA,Snack Foods
M,M,WA,Breakfast Foods
F,S,WA,Beer and Wine
M,S,WA,Jams and Jellies
F,S,OR,Pure Juice Beverages
F,S,OR,Cleaning Supplies
F,S,OR,Snack Foods
F,S,WA,Canned Soup
M,S,WA,Baking Goods
F,M,CA,Bread
M,M,WA,Vegetables
M,M,WA,Snack Foods
M,S,WA,Breakfast Foods
M,S,WA,Paper Products
M,M,OR,Bathroom Products
M,S,WA,Electrical
F,S,WA,Dairy
F,S,OR,Fruit
M,S,CA,Frozen Desserts
F,S,CA,Beer and Wine
F,M,CA,Electrical
F,M,WA,Meat
M,M,WA,Jams and Jellies
M,S,OR,Bathroom Products
M,M,WA,Jams and Jellies
M,M,WA,Canned Soup
F,S,WA,Kitchen Products
F,S,OR,Bathroom Products
F,S,WA,Snack Foods
F,M,WA,Kitchen Products
M,M,CA,Meat
M,M,WA,Meat
M,S,CA,Bathroom Products
F,S,WA,Pizza
F,M,OR,Bread
M,M,CA,Vegetables
F,S,WA,Snack Foods
F,M,CA,Fruit
M,M,CA,Snack Foods
F,S,OR,Meat
M,M,OR,Frozen Desserts
F,M,WA,Snack Foods
M,S,WA,Magazines
F,M,WA,Dairy
F,S,CA,Breakfast Foods
F,S,CA,Breakfast Foods
F,M,WA,Specialty
F,M,WA,Kitchen Products
M,S,CA,Candy
M,M,WA,Snack Foods
F,M,WA,Frozen Desserts
F,S,WA,Kitchen Products
F,M,WA,Pizza
M,S,CA,Dairy
F,S,WA,Meat
M,S,WA,Baking Goods
F,S,OR,Jams and Jellies
F,S,OR,Snack Foods
M,S,WA,Bread
F,S,WA,Snack Foods
M,S,WA,Pizza
F,S,CA,Jams and Jellies
F,S,WA,Vegetables
F,S,WA,Specialty
M,M,WA,Meat
M,S,WA,Meat
F,M,CA,Vegetables
F,S,WA,Jams and Jellies
M,M,CA,Hot Beverages
M,S,WA,Snack Foods
F,S,WA,Starchy Foods
F,S,WA,Cleaning Supplies
F,M,WA,Vegetables
M,S,CA,Bathroom Products
F,M,CA,Hot Beverages
F,S,WA,Electrical
M,S,OR,Vegetables
F,S,CA,Snack Foods
F,M,WA,Dairy
M,S,CA,Side Dishes
M,M,WA,Canned Soup
F,M,WA,Meat
F,M,WA,Miscellaneous
M,M,CA,Snack Foods
M,S,WA,Candy
F,M,WA,Frozen Entrees
F,M,CA,Frozen Entrees
M,M,OR,Fruit
F,M,CA,Meat
F,M,CA,Baking Goods
M,M,CA,Fruit
M,M,CA,Hygiene
M,S,WA,Cold Remedies
F,M,WA,Paper Products
M,M,WA,Snack Foods
M,S,WA,Frozen Desserts
F,S,CA,Electrical
F,S,CA,Vegetables
F,S,CA,Meat
M,S,OR,Baking Goods
F,S,OR,Jams and Jellies
M,S,WA,Vegetables
F,M,WA,Snack Foods
F,M,WA,Dairy
F,S,CA,Meat
M,M,WA,Dairy
M,S,WA,Pain Relievers
M,M,WA,Meat
M,M,CA,Decongestants
M,M,CA,Breakfast Foods
F,S,CA,Frozen Desserts
M,S,WA,Baking Goods
M,S,WA,Vegetables
F,M,CA,Baking Goods
F,M,OR,Vegetables
M,M,WA,Snack Foods
M,S,OR,Dairy
F,M,WA,Pain Relievers
F,M,WA,Specialty
F,S,CA,Snack Foods
F,S,WA,Meat
F,S,WA,Vegetables
M,S,CA,Electrical
M,S,CA,Jams and Jellies
M,M,WA,Paper Products
M,M,OR,Side Dishes
F,M,OR,Candles
F,S,WA,Side Dishes
F,M,WA,Snack Foods
M,S,OR,Electrical
F,S,WA,Snack Foods
M,S,WA,Vegetables
F,M,WA,Cleaning Supplies
M,S,WA,Kitchen Products
F,M,WA,Pure Juice Beverages
M,M,WA,Plastic Products
M,S,WA,Hygiene
F,M,CA,Miscellaneous
M,S,CA,Breakfast Foods
F,S,CA,Kitchen Products
M,S,CA,Vegetables
F,M,WA,Plastic Products
M,M,WA,Pure Juice Beverages
F,M,WA,Baking Goods
F,S,CA,Beer and Wine
M,S,WA,Jams and Jellies
M,M,WA,Breakfast Foods
F,M,WA,Baking Goods
M,M,CA,Bread
F,S,WA,Dairy
M,S,WA,Meat
F,M,WA,Vegetables
F,M,CA,Drinks
M,S,WA,Fruit
M,M,CA,Snack Foods
M,M,WA,Side Dishes
F,S,OR,Fruit
M,S,CA,Candles
M,M,WA,Bathroom Products
F,S,WA,Meat
F,S,WA,Vegetables
M,S,CA,Beer and Wine
F,M,WA,Paper Products
F,M,WA,Cleaning Supplies
F,S,CA,Meat
M,M,WA,Vegetables
F,M,CA,Jams and Jellies
M,S,CA,Snack Foods
F,M,CA,Baking Goods
M,S,WA,Meat
F,S,OR,Beer and Wine
F,M,OR,Paper Products
M,M,WA,Hygiene
M,S,WA,Vegetables
M,M,CA,Canned Soup
M,S,WA,Bathroom Products
F,M,CA,Kitchen Products
F,M,CA,Jams and Jellies
F,M,WA,Jams and Jellies
M,M,CA,Fruit
F,S,CA,Snack Foods
F,S,CA,Starchy Foods
F,M,OR,Meat
F,M,OR,Vegetables
M,M,CA,Electrical
M,S,OR,Hot Beverages
F,S,OR,Plastic Products
F,M,OR,Cleaning Supplies
M,M,OR,Jams and Jellies
M,M,OR,Cleaning Supplies
F,S,WA,Specialty
F,M,CA,Snack Foods
F,M,CA,Vegetables
M,S,OR,Packaged Vegetables
M,S,WA,Canned Soup
F,M,WA,Beer and Wine
F,S,OR,Vegetables
M,S,CA,Kitchen Products
M,M,CA,Vegetables
M,M,WA,Fruit
F,M,CA,Paper Products
M,M,OR,Vegetables
M,M,WA,Bathroom Products
M,S,CA,Specialty
M,S,OR,Hygiene
F,M,WA,Snack Foods
M,S,OR,Canned Soup
M,S,CA,Frozen Desserts
F,S,WA,Plastic Products
F,M,WA,Snack Foods
M,S,CA,Vegetables
F,S,WA,Seafood
M,S,CA,Fruit
M,M,OR,Fruit
F,M,OR,Bread
F,M,CA,Frozen Entrees
M,M,CA,Candy
M,M,CA,Kitchen Products
F,S,WA,Electrical
F,S,WA,Frozen Entrees
F,M,CA,Bread
F,M,OR,Breakfast Foods
M,M,CA,Dairy
M,M,WA,Jams and Jellies
F,S,WA,Beer and Wine
M,S,WA,Bathroom Products
M,S,WA,Snack Foods
F,S,WA,Baking Goods
F,M,OR,Meat
M,M,CA,Beer and Wine
F,M,WA,Magazines
M,S,WA,Hardware
M,M,WA,Canned Soup
M,S,WA,Snack Foods
F,S,WA,Jams and Jellies
F,M,WA,Side Dishes
M,M,WA,Plastic Products
M,S,OR,Canned Tuna
F,M,OR,Meat
M,S,WA,Bread
M,S,WA,Snack Foods
F,S,CA,Dairy
M,S,OR,Dairy
F,M,CA,Vegetables
M,M,WA,Dairy
M,M,CA,Beer and Wine
F,M,WA,Seafood
F,S,OR,Meat
F,M,CA,Pizza
F,M,OR,Vegetables
F,M,WA,Beer and Wine
M,M,WA,Snack Foods
M,S,WA,Dairy
F,M,WA,Candy
F,S,OR,Dairy
M,S,CA,Beer and Wine
M,M,CA,Cleaning Supplies
F,S,CA,Jams and Jellies
F,S,WA,Snack Foods
F,S,CA,Vegetables
M,M,CA,Hot Beverages
M,M,WA,Pain Relievers
M,S,WA,Vegetables
M,S,WA,Vegetables
F,M,WA,Hygiene
F,M,WA,Vegetables
M,M,OR,Bathroom Products
F,S,CA,Meat
F,S,CA,Vegetables
F,M,WA,Frozen Entrees
F,S,OR,Snack Foods
F,M,OR,Jams and Jellies
M,S,CA,Dairy
F,M,OR,Starchy Foods
M,S,CA,Starchy Foods
M,M,WA,Pain Relievers
F,S,CA,Frozen Desserts
F,S,WA,Vegetables
F,S,WA,Pain Relievers
F,M,WA,Snack Foods
F,M,OR,Pizza
M,M,WA,Canned Clams
M,M,WA,Frozen Entrees
F,S,WA,Dairy
F,M,WA,Electrical
F,M,WA,Kitchen Products
F,M,WA,Snack Foods
M,M,WA,Starchy Foods
F,M,WA,Vegetables
M,M,CA,Jams and Jellies
F,S,CA,Electrical
M,S,OR,Dairy
F,M,OR,Specialty
M,S,OR,Breakfast Foods
M,S,OR,Cleaning Supplies
F,S,WA,Canned Clams
F,M,WA,Fruit
F,S,WA,Canned Soup
M,S,CA,Dairy
M,M,CA,Snack Foods
M,S,CA,Starchy Foods
M,S,CA,Vegetables
M,S,OR,Frozen Entrees
F,S,WA,Vegetables
F,M,OR,Beer and Wine
M,M,WA,Fruit
F,M,CA,Meat
F,S,CA,Vegetables
M,M,OR,Electrical
M,S,WA,Starchy Foods
M,S,OR,Electrical
M,S,CA,Paper Products
F,M,CA,Bread
M,S,WA,Pain Relievers
F,S,WA,Vegetables
F,M,OR,Breakfast Foods
M,M,WA,Magazines
M,M,CA,Eggs
M,S,OR,Dairy
F,S,OR,Vegetables
M,M,WA,Vegetables
F,S,WA,Pizza
M,S,CA,Meat
F,M,WA,Vegetables
F,S,WA,Bread
F,S,OR,Breakfast Foods
M,S,WA,Jams and Jellies
F,M,WA,Vegetables
M,M,WA,Canned Soup
F,M,CA,Vegetables
M,S,WA,Hot Beverages
F,S,WA,Candles
M,M,WA,Hygiene
F,M,CA,Starchy Foods
F,M,WA,Fruit
M,S,WA,Dairy
F,S,WA,Fruit
F,S,OR,Specialty
M,S,CA,Snack Foods
M,M,CA,Meat
F,S,CA,Meat
M,S,WA,Fruit
F,S,CA,Specialty
M,M,CA,Frozen Desserts
F,S,CA,Vegetables
M,M,CA,Snack Foods
M,M,CA,Vegetables
M,M,OR,Electrical
M,S,OR,Starchy Foods
M,S,CA,Hardware
M,M,CA,Frozen Entrees
M,S,CA,Paper Products
M,S,OR,Plastic Products
M,M,OR,Jams and Jellies
F,S,WA,Dairy
M,S,OR,Hardware
M,S,WA,Jams and Jellies
M,S,WA,Snack Foods
F,M,WA,Pure Juice Beverages
F,M,OR,Canned Clams
M,M,OR,Fruit
M,S,CA,Candy
F,M,CA,Pizza
M,M,OR,Vegetables
F,M,CA,Canned Clams
M,S,WA,Vegetables
F,S,WA,Electrical
F,S,OR,Beer and Wine
F,S,OR,Kitchen Products
M,M,CA,Candles
F,S,CA,Vegetables
F,M,WA,Vegetables
F,M,WA,Candy
M,M,CA,Vegetables
M,S,CA,Snack Foods
M,M,CA,Meat
F,M,WA,Cleaning Supplies
F,S,WA,Vegetables
M,M,WA,Snack Foods
F,S,OR,Electrical
F,S,WA,Jams and Jellies
M,M,CA,Frozen Desserts
F,S,WA,Kitchen Products
M,M,CA,Dairy
M,S,CA,Snack Foods
M,M,WA,Jams and Jellies
M,S,WA,Vegetables
M,M,CA,Miscellaneous
F,S,WA,Vegetables
M,S,OR,Meat
F,S,OR,Meat
M,M,OR,Meat
M,S,CA,Drinks
M,S,WA,Kitchen Products
F,M,CA,Hot Beverages
M,S,CA,Vegetables
M,M,OR,Fruit
M,S,OR,Candy
F,M,CA,Vegetables
F,M,WA,Candy
F,S,WA,Meat
M,S,CA,Carbonated Beverages
M,M,OR,Snack Foods
F,M,OR,Bathroom Products
F,M,CA,Specialty
F,M,WA,Cleaning Supplies
M,S,OR,Beer and Wine
M,S,WA,Baking Goods
F,M,WA,Kitchen Products
F,S,WA,Breakfast Foods
M,M,OR,Meat
M,M,CA,Canned Oysters
M,M,OR,Canned Sardines
M,S,WA,Snack Foods
M,M,WA,Plastic Products
M,M,WA,Bread
M,S,OR,Snack Foods
M,M,WA,Vegetables
F,M,OR,Miscellaneous
M,S,OR,Snack Foods
F,S,OR,Canned Tuna
M,M,WA,Vegetables
M,M,WA,Meat
M,S,OR,Magazines
M,M,WA,Snack Foods
F,M,CA,Snack Foods
F,S,WA,Vegetables
F,M,CA,Fruit
F,M,WA,Specialty
M,M,WA,Dairy
M,M,CA,Side Dishes
M,S,CA,Bread
M,M,CA,Baking Goods
F,M,WA,Beer and Wine
F,M,WA,Breakfast Foods
M,M,OR,Jams and Jellies
F,M,WA,Beer and Wine
F,M,WA,Snack Foods
F,S,CA,Specialty
M,S,WA,Snack Foods
F,S,CA,Packaged Vegetables
M,S,WA,Vegetables
F,M,OR,Baking Goods
M,M,WA,Candy
M,S,CA,Eggs
F,M,CA,Baking Goods
M,S,WA,Pizza
M,M,WA,Vegetables
F,S,WA,Vegetables
F,S,OR,Canned Soup
F,S,WA,Vegetables
M,S,WA,Bread
F,M,WA,Dairy
M,M,WA,Baking Goods
F,M,OR,Candy
M,S,OR,Meat
F,S,WA,Vegetables
M,M,WA,Vegetables
F,S,WA,Breakfast Foods
M,S,OR,Frozen Desserts
M,M,WA,Pizza
F,S,WA,Bathroom Products
F,M,Veracruz,Fruit
F,M,WA,Drinks
F,S,CA,Carbonated Beverages
M,S,WA,Pizza
F,S,WA,Side Dishes
F,M,CA,Vegetables
F,M,WA,Starchy Foods
M,M,OR,Electrical
F,S,OR,Vegetables
F,S,CA,Beer and Wine
M,S,OR,Frozen Entrees
F,M,WA,Hot Beverages
M,M,WA,Meat
F,M,OR,Dairy
M,S,OR,Dairy
M,M,CA,Seafood
F,M,WA,Fruit
F,M,OR,Snack Foods
M,M,WA,Jams and Jellies
M,S,WA,Meat
F,S,WA,Pure Juice Beverages
M,M,WA,Vegetables
M,M,OR,Meat
M,S,WA,Paper Products
